miRNA_ID	miRNA_region
hsa-mir-518e	mature
hsa-mir-519c	mature
hsa-mir-520a	mature
hsa-mir-520g	mature
hsa-mir-525	mature
hsa-mir-526b	mature
hsa-mir-532	mature
hsa-mir-542	mature
hsa-mir-543	mature
hsa-mir-548b	mature
hsa-mir-548d-1	mature
hsa-mir-548e	mature
hsa-mir-548j	mature
hsa-mir-548k	mature
hsa-mir-548l	mature
hsa-mir-548o	mature
hsa-mir-548v	mature
hsa-mir-550a-1	mature
hsa-mir-550a-2	mature
hsa-mir-551a	mature
hsa-mir-551b	mature
hsa-mir-552	mature
hsa-mir-556	mature
hsa-mir-570	mature
hsa-mir-573	mature
hsa-mir-574	mature
hsa-mir-576	mature
hsa-mir-577	mature
hsa-mir-580	mature
hsa-mir-581	mature
hsa-mir-582	mature
hsa-mir-584	mature
hsa-mir-585	mature
hsa-mir-590	mature
hsa-mir-592	mature
hsa-mir-598	mature
hsa-mir-605	mature
hsa-mir-616	mature
hsa-mir-618	mature
hsa-mir-625	mature
hsa-mir-628	mature
hsa-mir-639	mature
hsa-mir-642a	mature
hsa-mir-651	mature
hsa-mir-652	mature
hsa-mir-654	mature
hsa-mir-656	mature
hsa-mir-658	mature
hsa-mir-660	mature
hsa-mir-664	mature
hsa-mir-671	mature
hsa-mir-676	mature
hsa-mir-7-3	mature
hsa-mir-744	mature
hsa-mir-766	mature
hsa-mir-874	mature
hsa-mir-877	mature
hsa-mir-885	mature
hsa-mir-889	mature
hsa-mir-891a	mature
hsa-mir-9-1	mature
hsa-mir-92a-2	mature
hsa-mir-934	mature
hsa-mir-935	mature
hsa-mir-937	mature
hsa-mir-939	mature
hsa-mir-940	mature
hsa-mir-942	mature
hsa-mir-95	mature
hsa-mir-96	mature
hsa-mir-99a	mature
hsa-mir-99b	mature
